City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,killarney,52.05,-9.5167,7.9,96,100,3.2,IE,1680577947
1,padang,-0.9492,100.3543,29.03,67,82,1.44,ID,1680577947
2,rikitea,-23.1203,-134.9692,26.46,82,99,6.48,PF,1680577854
3,nanortalik,60.1432,-45.2371,-0.94,85,97,0.78,GL,1680577948
4,ahipara,-35.1667,173.1667,19.59,57,1,5.34,NZ,1680577948
5,bredasdorp,-34.5322,20.0403,14.76,86,92,1.08,ZA,1680577948
6,shediac,46.2198,-64.5411,1.87,86,75,5.14,CA,1680577949
7,severnoye,56.3491,78.3619,-0.13,78,89,2.64,RU,1680577950
8,ranfurly,-45.1333,170.1,17.84,62,17,1.25,NZ,1680577951
9,qaanaaq,77.484,-69.3632,-23.63,60,0,2.93,GL,1680577951
10,mataura,-46.1927,168.8643,14.71,56,61,1.61,NZ,1680577951
11,isla mujeres,21.2311,-86.731,27.03,82,83,5.74,MX,1680577951
12,cherskiy,68.75,161.3,-13.38,72,96,7.12,RU,1680577952
13,te anau,-45.4167,167.7167,18.15,48,26,1.93,NZ,1680577952
14,nikolskoye,59.7035,30.7861,-1.78,97,100,3.02,RU,1680577952
15,provideniya,64.3833,-173.3,-12.94,66,40,5.0,RU,1680577952
16,jamestown,42.097,-79.2353,10.29,85,100,2.24,US,1680577891
17,port elizabeth,-33.918,25.5701,17.95,82,77,1.34,ZA,1680577953
18,tuktoyaktuk,69.4541,-133.0374,-20.75,100,43,3.2,CA,1680577953
19,kavieng,-2.5744,150.7967,28.38,72,16,1.03,PG,1680577954
20,san patricio,28.017,-97.5169,25.5,79,100,7.78,US,1680577954
21,lakatoro,-16.0999,167.4164,29.94,63,30,5.14,VU,1680577954
22,albany,42.6001,-73.9662,11.23,63,100,1.91,US,1680577954
23,yellowknife,62.456,-114.3525,-11.88,96,99,1.71,CA,1680577829
24,ust-uda,54.1742,103.0304,-0.13,55,100,4.47,RU,1680577954
25,kousseri,12.0769,15.0306,26.78,23,47,3.76,CM,1680577954
26,ushuaia,-54.8,-68.3,6.81,81,20,3.6,AR,1680577860
27,oppdal,62.5943,9.6912,-5.42,81,68,2.37,NO,1680577955
28,sola,-13.8833,167.55,28.38,73,75,7.01,VU,1680577955
29,esso,55.9333,158.7,-3.42,75,68,1.73,RU,1680577955
30,qaqortoq,60.7167,-46.0333,-1.84,79,96,1.8,GL,1680577956
31,kruisfontein,-34.0033,24.7314,16.6,81,78,3.75,ZA,1680577956
32,arraial do cabo,-22.9661,-42.0278,23.91,75,100,4.69,BR,1680577956
33,nisia floresta,-6.0911,-35.2086,25.45,90,76,2.57,BR,1680577956
